user_id,group,usage_pre,usage_minutes,is_paying,revenue,latency_ms,error_rate_flag,support_tickets
0,control,50.010927075378426,59.39271478611579,0,0.0,239.2223246065186,0,0
1,control,78.3170056081637,39.94388040655468,1,119.93163799551822,197.69959647432697,0,0
2,control,50.08692792298069,45.05582382788633,1,92.68406841259355,187.12102581718872,0,0
3,control,59.288711151868704,61.74647681772014,0,0.0,180.1687008143302,0,0
4,control,44.82069821652892,70.2791899174923,0,0.0,263.020231431557,0,0
5,control,69.97657649069744,64.56733646781842,0,0.0,233.2937702360886,0,1
6,control,48.22187944941799,47.78102289760869,1,87.76221458695221,152.7465430674246,0,0
7,control,49.95765407978124,36.816325809879885,0,0.0,134.74266311869894,0,0
8,control,44.98538145907462,59.843920727156494,0,0.0,134.9763016893101,0,0
9,control,59.44201796060752,66.68630077026654,0,0.0,211.65680492218252,0,0
10,control,22.423026763146904,46.1535155524607,1,48.894959124415784,122.69326756334723,0,2
11,control,42.538746775693795,43.93867034237009,0,0.0,147.29892475097114,0,1
12,control,43.71516253599312,41.22410080834311,0,0.0,219.4752519152634,0,1
13,control,69.31211595962002,58.62269556893982,0,0.0,192.34777278527238,1,0
14,control,38.430982180971895,53.73248473840706,0,0.0,271.07163935348774,0,1
15,control,79.22726448162295,61.04491384454543,0,0.0,196.21159305934614,0,0
16,control,84.15928995035485,105.08571074644613,0,0.0,271.877846276449,0,0
17,control,34.03067407534231,25.710769368498568,0,0.0,178.00736169818666,0,1
18,control,29.120460563923885,20.346038348936883,0,0.0,247.8669299136505,1,1
19,control,56.41709178490077,108.95523720720095,1,96.62254036228302,187.65582236063017,0,0
20,control,80.535520083044,60.805059085499465,0,0.0,147.80569298300557,0,0
21,control,43.03676263822236,37.492110592141,0,0.0,182.13148656311202,0,1
22,control,30.73715293421306,47.392279459210194,0,0.0,185.85929935966905,0,0
23,control,53.693009984065554,50.11772287906951,0,0.0,211.61029812061852,0,0
24,control,43.194603104049314,27.384588217333665,0,0.0,165.88101180562612,0,1
25,control,44.77811096872435,45.82456905779953,0,0.0,226.7047811419306,0,1
26,control,76.72981388402802,43.35966236847199,0,0.0,179.94864600596387,0,0
27,control,48.17995555696884,43.78450405906224,0,0.0,121.40357231582924,0,0
28,control,25.705707447991323,51.080496000063945,0,0.0,183.1383737574711,0,1
29,control,42.88440055046198,48.14859632325474,1,79.43799134689138,226.36898617866174,0,1
30,control,80.68937608269792,70.48917085283807,0,0.0,192.91790377960322,0,0
31,control,55.78646423743344,55.341883704021924,0,0.0,227.1340509707265,0,1
32,control,26.54687665553176,33.197123064054246,0,0.0,121.6612202533927,0,0
33,control,73.31275457316012,63.53643548585117,0,0.0,205.74392079163482,0,0
34,control,40.61970095067893,45.92724866469329,0,0.0,229.24892643808008,0,1
35,control,29.38536292127873,59.95360086638077,0,0.0,176.88631059066932,0,1
36,control,19.457104269574785,23.709777180312877,0,0.0,270.96732084591997,0,0
37,control,92.43186913004594,81.9122369521104,0,0.0,196.7420879647992,0,2
38,control,17.906798671867563,15.483210373328289,0,0.0,168.8825483854925,0,2
39,control,86.02722878748541,72.90791694323825,1,66.60831711214239,324.71461164794226,0,0
40,control,61.83585570018402,73.4105147213352,0,0.0,285.43561598637984,0,0
41,control,67.34098289892779,64.71604365023904,0,0.0,287.9175118954882,0,0
42,control,42.48766795141806,59.325180225711456,1,85.44019603897725,225.57076845603987,1,0
43,control,40.75566471561064,46.48188399882858,0,0.0,240.35048934307596,0,0
44,control,78.10236555154793,69.06216096759559,0,0.0,264.8405462269312,0,1
45,control,66.32656085022799,65.18603311774227,0,0.0,171.86062019924094,0,1
46,control,35.221163671385476,32.89157566653928,0,0.0,170.58029076460787,0,1
47,control,27.403800421642867,4.895051251369473,0,0.0,280.4794512067003,0,1
48,control,57.31345147262135,83.6664391076219,0,0.0,85.73969905943785,0,1
49,control,68.17512412907763,59.666674588455805,0,0.0,303.30887432702605,0,0
50,control,48.5881823067501,40.6883310921839,0,0.0,304.7382159546308,0,0
51,control,53.46466847272834,82.11706698488594,0,0.0,193.52855302849045,0,0
52,control,56.908160529399346,59.7571771794633,0,0.0,255.00262077662,0,1
53,control,41.325213698005115,17.612609896405903,1,83.45343236735282,175.20685018880468,0,0
54,control,41.0663298668382,26.527032656360245,0,0.0,148.81310830159282,0,0
55,control,13.424285657385685,35.225171441022795,0,0.0,222.00971809056963,0,0
56,control,72.37298513281695,67.55059372795401,0,0.0,221.26680503460688,0,2
57,control,64.52107066928716,42.105670391922565,1,133.5349692104317,189.97594189532,0,0
58,control,48.01934504286613,37.842177874233535,0,0.0,176.3058778441967,0,0
59,control,76.40645355620572,78.19066167828366,0,0.0,188.4728805226048,0,0
60,control,9.034982186442111,27.5853379575588,0,0.0,230.81185697595922,0,0
61,control,92.3750108019168,44.98854280109357,0,0.0,122.9791981872677,0,0
62,control,97.82057513723196,95.88598171867264,0,0.0,156.975611957743,0,0
63,control,72.77411732643495,38.70756814042669,0,0.0,150.5807744164374,0,1
64,control,44.875592763190454,31.556819229341013,0,0.0,201.95600560289483,0,1
65,control,4.605355155330999,21.90659489399997,0,0.0,145.8436023436165,0,0
66,control,66.40486208142202,55.475154336097845,0,0.0,283.65570418640067,0,0
67,control,84.44064997471212,72.98320438014363,0,0.0,188.52971248962996,0,0
68,control,72.65135613924011,69.03076973974296,0,0.0,139.24306977293935,0,1
69,control,49.716179302939594,63.851743043774334,1,85.67636458009008,268.779413722477,0,0
70,control,50.385031474173196,39.045141311376454,0,0.0,210.62874142164267,0,0
71,control,24.638257709178237,30.052676489983984,0,0.0,187.60438724557747,0,0
72,control,45.93692692729574,51.91953752235518,0,0.0,79.09481839729334,0,0
73,control,56.32851049781558,76.56469571833196,0,0.0,217.05049522653312,0,1
74,control,82.36155651707084,74.1156931411121,0,0.0,228.55847547652743,0,0
75,control,28.50207095567841,35.497498812463654,0,0.0,245.1605231326595,0,1
76,control,46.1569056973176,65.1277578195308,0,0.0,243.4407130064407,0,0
77,control,57.17129326740192,43.71792550697587,0,0.0,148.08245383841984,0,3
78,control,39.59749149663157,34.32197489870384,0,0.0,191.44703699406196,0,2
79,control,51.92402936032383,70.544717269317,0,0.0,303.18872547809895,0,0
80,control,32.79451317320166,40.97340596380616,0,0.0,267.5277289555863,0,0
81,control,61.86343748204659,53.381735981977464,1,112.78711498890566,287.5440581145955,0,0
82,control,55.83576291564531,67.79554366178256,0,0.0,152.49592766650517,0,0
83,control,35.572872414141415,48.98076720625511,0,0.0,208.63569601539646,0,1
84,control,81.1451837276175,89.69346558822622,0,0.0,284.3600356814036,0,1
85,control,61.71832157498829,47.48410810565876,0,0.0,191.8753960307096,0,1
86,control,56.69291129875354,48.23796186353802,0,0.0,177.45250538090082,0,0
87,control,101.77646364857578,73.93814512742436,0,0.0,137.58024388738497,0,1
88,control,49.65251522777699,49.72863518652348,0,0.0,195.95181276955654,0,0
89,control,51.87133309902179,64.64729138861044,0,0.0,111.80945958273621,0,0
90,control,51.16426815760516,56.181065108031184,0,0.0,164.65959817691808,0,0
91,control,14.889987050386262,42.927028296636955,0,0.0,213.775698977676,0,0
92,control,40.04718944983932,42.35532094740287,0,0.0,266.77509312898724,0,1
93,control,56.11155725958171,38.12745275511274,0,0.0,225.8575834682736,0,0
94,control,58.6254598680652,69.37255863302819,0,0.0,204.19679738352326,0,0
95,control,20.237237623197515,8.109579245676073,0,0.0,163.07534399645775,0,2
96,control,45.472092076718525,56.584065609309256,0,0.0,172.74872392266656,0,1
97,control,41.775383876850675,33.530268695786106,0,0.0,111.72669765959716,0,0
